Sci,Year,TowID,Lat,Long,Wt,AreaSwept_ha
Sebastes_jordani,2021,2021_1_44332509,44.55027778,-125.18277778,0,1
Sebastes_jordani,2021,2021_1_44592503,44.97055556,-125.03666667,0,1
Sebastes_jordani,2021,2021_1_44592515,44.97,-125.25805556,0,1
Sebastes_jordani,2021,2021_10_45142452,45.24222222,-124.85055556,0,1
Sebastes_jordani,2021,2021_10_46502505,46.83305556,-125.08055556,0,1
Sebastes_jordani,2021,2021_10_46562437,46.91444444,-124.60833333,0,1
Sebastes_jordani,2021,2021_10_47562544,47.91888889,-125.74083333,0,1
Sebastes_jordani,2021,2021_100_37082234,37.12694444,-122.57194444,0.206390303859,1
Sebastes_jordani,2021,2021_100_39012402,39.01666667,-124.01805556,0,1
Sebastes_jordani,2021,2021_100_40482424,40.80972222,-124.40472222,0,1
Sebastes_jordani,2021,2021_100_41202442,41.33444444,-124.69555556,0,1
Sebastes_jordani,2021,2021_101_37102238,37.15916667,-122.62055556,0.058887876881,1
Sebastes_jordani,2021,2021_101_38572406,38.95388889,-124.07833333,0,1
Sebastes_jordani,2021,2021_101_40332445,40.55944444,-124.73416667,0,1
Sebastes_jordani,2021,2021_101_41142438,41.24444444,-124.61805556,0,1
Sebastes_jordani,2021,2021_102_37182235,37.28944444,-122.60138889,0.348179768876,1
Sebastes_jordani,2021,2021_102_38532358,38.88722222,-123.95833333,0,1
Sebastes_jordani,2021,2021_102_40312443,40.51611111,-124.72916667,0,1
Sebastes_jordani,2021,2021_103_37262239,37.43,-122.64027778,0,1
Sebastes_jordani,2021,2021_103_38512348,38.815,-123.83194444,9.474305555383,1
Sebastes_jordani,2021,2021_103_40112443,40.18305556,-124.73361111,0,1
Sebastes_jordani,2021,2021_103_41002438,41.00138889,-124.625,0,1
Sebastes_jordani,2021,2021_104_37322248,37.52361111,-122.78861111,0,1
Sebastes_jordani,2021,2021_104_38492350,38.84861111,-123.79833333,47.658695055699,1
Sebastes_jordani,2021,2021_104_40092459,40.1225,-124.79944444,0,1
Sebastes_jordani,2021,2021_104_40172445,40.27055556,-124.75916667,0,1
Sebastes_jordani,2021,2021_105_37502255,37.82722222,-122.91388889,0,1
Sebastes_jordani,2021,2021_105_38382331,38.65083333,-123.52111111,0,1
Sebastes_jordani,2021,2021_105_40072437,40.12472222,-124.62305556,0,1
Sebastes_jordani,2021,2021_105_40092459,40.16277778,-125.00055556,0,1
Sebastes_jordani,2021,2021_106_37262302,37.43805556,-123.01611111,0,1
Sebastes_jordani,2021,2021_106_38262326,38.44305556,-123.4275,0,1
Sebastes_jordani,2021,2021_106_40012425,40.025,-124.41583333,0,1
Sebastes_jordani,2021,2021_106_40082419,40.15444444,-124.32666667,1.058324658905,1
Sebastes_jordani,2021,2021_107_37242248,37.405,-122.81416667,0,1
Sebastes_jordani,2021,2021_107_38192336,38.31916667,-123.58777778,0,1
Sebastes_jordani,2021,2021_107_40022416,40.04944444,-124.25638889,0,1
Sebastes_jordani,2021,2021_107_40062415,40.11194444,-124.26694444,0,1
Sebastes_jordani,2021,2021_108_37122249,37.20916667,-122.81805556,0,1
Sebastes_jordani,2021,2021_108_38152334,38.24805556,-123.55333333,0,1
Sebastes_jordani,2021,2021_108_39572416,39.93166667,-124.27638889,0,1
Sebastes_jordani,2021,2021_108_39572418,39.95416667,-124.29111111,0,1
Sebastes_jordani,2021,2021_109_36572231,36.97444444,-122.50805556,0,1
Sebastes_jordani,2021,2021_109_38142324,38.23916667,-123.39527778,0,1
Sebastes_jordani,2021,2021_109_39262353,39.48444444,-124.22972222,0,1
Sebastes_jordani,2021,2021_109_39362353,39.61888889,-123.88,0,1
Sebastes_jordani,2021,2021_11_46222433,46.36777778,-124.54166667,0,1
Sebastes_jordani,2021,2021_11_46402444,46.67083333,-124.71888889,0.196433255803,1
Sebastes_jordani,2021,2021_11_47022441,47.01944444,-124.68972222,0,1
Sebastes_jordani,2021,2021_11_47582547,47.96222222,-125.78083333,0,1
Sebastes_jordani,2021,2021_110_36402152,36.67611111,-121.86277778,0,1
Sebastes_jordani,2021,2021_110_38102317,38.18833333,-123.28388889,0,1
Sebastes_jordani,2021,2021_110_39262353,39.44972222,-123.88861111,0,1
Sebastes_jordani,2021,2021_110_39342359,39.57527778,-123.96444444,0,1
Sebastes_jordani,2021,2021_111_36252159,36.40555556,-121.96861111,0.386217353962,1
Sebastes_jordani,2021,2021_111_38062311,38.11916667,-123.18388889,0,1
Sebastes_jordani,2021,2021_111_39252405,39.41583333,-124.08444444,0,1
Sebastes_jordani,2021,2021_111_39292407,39.49472222,-124.10138889,0,1
Sebastes_jordani,2021,2021_112_36232201,36.36527778,-121.99472222,0.06482609428,1
Sebastes_jordani,2021,2021_112_38062315,38.11583333,-123.24638889,0,1
Sebastes_jordani,2021,2021_112_39142349,39.23416667,-123.81361111,0,1
Sebastes_jordani,2021,2021_112_39172359,39.28416667,-123.97361111,0,1
Sebastes_jordani,2021,2021_113_36212208,36.34027778,-122.12527778,0,1
Sebastes_jordani,2021,2021_113_38002317,38.01416667,-123.28111111,0,1
Sebastes_jordani,2021,2021_113_38532344,38.87361111,-123.72972222,0,1
Sebastes_jordani,2021,2021_113_39112403,39.18944444,-124.045,0,1
Sebastes_jordani,2021,2021_114_36192159,36.3125,-121.98194444,1.664070940435,1
Sebastes_jordani,2021,2021_114_37482253,37.80861111,-122.89277778,0,1
Sebastes_jordani,2021,2021_114_38432349,38.71833333,-123.80944444,0,1
Sebastes_jordani,2021,2021_114_39092401,39.15583333,-124.01277778,0,1
Sebastes_jordani,2021,2021_115_36042152,36.07111111,-121.86638889,0,1
Sebastes_jordani,2021,2021_115_37242254,37.41,-122.88861111,0,1
Sebastes_jordani,2021,2021_115_38282316,38.47916667,-123.28111111,0,1
Sebastes_jordani,2021,2021_115_39112357,39.1825,-123.94194444,0,1
Sebastes_jordani,2021,2021_116_35522140,35.88194444,-121.65472222,0,1
Sebastes_jordani,2021,2021_116_37162254,37.28333333,-122.90444444,0,1
Sebastes_jordani,2021,2021_116_38222309,38.37805556,-123.14972222,0,1
Sebastes_jordani,2021,2021_116_38572360,38.93888889,-124.00361111,0,1
